C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/22/2017,23:00:00,REGULAR,6455787,2184977
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/22/2017,19:00:00,REGULAR,6455505,2184926
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/22/2017,15:00:00,REGULAR,6454819,2184867
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/22/2017,11:00:00,REGULAR,6454437,2184773
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/22/2017,07:00:00,REGULAR,6454285,2184501
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/22/2017,03:00:00,REGULAR,6454273,2184470
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/21/2017,23:00:00,REGULAR,6454220,2184461
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/21/2017,19:00:00,REGULAR,6453852,2184433
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/21/2017,15:00:00,REGULAR,6453049,2184356
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/21/2017,11:00:00,REGULAR,6452780,2184273
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/21/2017,07:00:00,REGULAR,6452648,2183961
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/21/2017,06:41:27,REGULAR,6452644,2183942
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/21/2017,03:00:00,REGULAR,6452631,2183920
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/20/2017,23:00:00,REGULAR,6452571,2183913
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/20/2017,19:00:00,REGULAR,6452242,2183870
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/20/2017,15:00:00,REGULAR,6451436,2183811
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/20/2017,11:00:00,REGULAR,6451168,2183739
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/20/2017,10:06:52,REGULAR,6451135,2183688
A002,R051,02-00-00,59 ST,NQR456W,BMT,12/20/2017,07:00:00,REGULAR,6451026,2183422
